ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
ensemble,hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.518,0,{},AAPL
ensemble,hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.498,0,{},AAPL
ensemble,hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.515,0,{},AAPL
ensemble,hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.506,0,{},AAPL
ensemble,hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.5,0,{},AAPL
ensemble,extremelyfastdecisiontreeclassifier,adwin,selectkbest,1000,1,0.525,0,{},AAPL
ensemble,extremelyfastdecisiontreeclassifier,adwin,selectkbest,1000,1,0.501,0,{},AAPL
ensemble,extremelyfastdecisiontreeclassifier,adwin,selectkbest,1000,1,0.524,0,{},AAPL
ensemble,extremelyfastdecisiontreeclassifier,adwin,selectkbest,1000,1,0.494,0,{},AAPL
ensemble,extremelyfastdecisiontreeclassifier,adwin,selectkbest,1000,1,0.497,0,{},AAPL
