ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.497,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.52,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.516,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.516,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.515,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.516,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.5,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.516,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.518,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.523,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.517,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.515,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.503,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.512,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.517,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.514,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.505,1,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.508,4,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.52,4,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.518,1,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.521,5,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.513,2,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.511,3,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.514,4,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.508,2,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.52,1,{},AAPL,5
