ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.528,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.538,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.517,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.542,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.542,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.542,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.532,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.52,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.522,2,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.513,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.518,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.54,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.533,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.519,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.535,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.533,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.523,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.535,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.541,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.516,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.531,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.521,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.532,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.52,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.536,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.534,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.527,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.507,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.538,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.542,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.526,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.533,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.536,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.522,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.539,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.535,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.483,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.511,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.536,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.515,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.523,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.524,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.523,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.523,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.519,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.529,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.516,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.53,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.519,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.514,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.534,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.532,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.535,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.541,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.536,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.525,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.544,0,{},^SPX,2
