model_name,drift_name,learning_threshold,accuracy,drifts_detected,model_args,ticker
nochange,adwin,100,0.504,1,,AAPL
nochange,adwin,200,0.503,1,,AAPL
nochange,adwin,500,0.501,0,,AAPL
nochange,adwin,1000,0.499,0,,AAPL
nochange,adwin,2000,0.496,0,,AAPL
nochange,kswin,100,0.504,1,,AAPL
nochange,kswin,200,0.503,4,,AAPL
nochange,kswin,500,0.501,0,,AAPL
nochange,kswin,1000,0.499,0,,AAPL
nochange,kswin,2000,0.496,2,,AAPL
nochange,dummydriftdetector,100,0.504,36,,AAPL
nochange,dummydriftdetector,200,0.503,35,,AAPL
nochange,dummydriftdetector,500,0.501,34,,AAPL
nochange,dummydriftdetector,1000,0.499,33,,AAPL
nochange,dummydriftdetector,2000,0.496,29,,AAPL
nochange,pagehinkley,100,0.504,2,,AAPL
nochange,pagehinkley,200,0.503,1,,AAPL
nochange,pagehinkley,500,0.501,1,,AAPL
nochange,pagehinkley,1000,0.499,1,,AAPL
nochange,pagehinkley,2000,0.496,1,,AAPL
nochange,bollingerband,100,0.504,9,,AAPL
nochange,bollingerband,200,0.503,8,,AAPL
nochange,bollingerband,500,0.501,8,,AAPL
nochange,bollingerband,1000,0.499,8,,AAPL
nochange,bollingerband,2000,0.496,7,,AAPL
majorityclass,adwin,100,0.502,0,10.0,AAPL
majorityclass,adwin,200,0.499,0,10.0,AAPL
majorityclass,adwin,500,0.499,0,10.0,AAPL
majorityclass,adwin,1000,0.5,0,10.0,AAPL
majorityclass,adwin,2000,0.503,0,10.0,AAPL
majorityclass,kswin,100,0.502,1,10.0,AAPL
majorityclass,kswin,200,0.499,5,10.0,AAPL
majorityclass,kswin,500,0.499,2,10.0,AAPL
majorityclass,kswin,1000,0.5,2,10.0,AAPL
majorityclass,kswin,2000,0.503,2,10.0,AAPL
majorityclass,dummydriftdetector,100,0.502,36,10.0,AAPL
majorityclass,dummydriftdetector,200,0.499,35,10.0,AAPL
majorityclass,dummydriftdetector,500,0.499,34,10.0,AAPL
majorityclass,dummydriftdetector,1000,0.5,33,10.0,AAPL
majorityclass,dummydriftdetector,2000,0.503,29,10.0,AAPL
majorityclass,pagehinkley,100,0.502,1,10.0,AAPL
majorityclass,pagehinkley,200,0.499,1,10.0,AAPL
majorityclass,pagehinkley,500,0.499,1,10.0,AAPL
majorityclass,pagehinkley,1000,0.5,1,10.0,AAPL
majorityclass,pagehinkley,2000,0.503,1,10.0,AAPL
majorityclass,bollingerband,100,0.502,9,10.0,AAPL
majorityclass,bollingerband,200,0.499,8,10.0,AAPL
majorityclass,bollingerband,500,0.499,8,10.0,AAPL
majorityclass,bollingerband,1000,0.5,8,10.0,AAPL
majorityclass,bollingerband,2000,0.503,7,10.0,AAPL
majorityclass,adwin,100,0.51,0,50.0,AAPL
majorityclass,adwin,200,0.51,0,50.0,AAPL
majorityclass,adwin,500,0.51,0,50.0,AAPL
majorityclass,adwin,1000,0.509,0,50.0,AAPL
majorityclass,adwin,2000,0.512,0,50.0,AAPL
majorityclass,kswin,100,0.511,4,50.0,AAPL
majorityclass,kswin,200,0.51,1,50.0,AAPL
majorityclass,kswin,500,0.51,5,50.0,AAPL
majorityclass,kswin,1000,0.509,6,50.0,AAPL
majorityclass,kswin,2000,0.512,5,50.0,AAPL
majorityclass,dummydriftdetector,100,0.511,36,50.0,AAPL
majorityclass,dummydriftdetector,200,0.51,35,50.0,AAPL
majorityclass,dummydriftdetector,500,0.51,34,50.0,AAPL
majorityclass,dummydriftdetector,1000,0.509,33,50.0,AAPL
majorityclass,dummydriftdetector,2000,0.512,29,50.0,AAPL
majorityclass,pagehinkley,100,0.511,1,50.0,AAPL
majorityclass,pagehinkley,200,0.51,1,50.0,AAPL
majorityclass,pagehinkley,500,0.51,1,50.0,AAPL
majorityclass,pagehinkley,1000,0.509,2,50.0,AAPL
majorityclass,pagehinkley,2000,0.512,1,50.0,AAPL
majorityclass,bollingerband,100,0.511,9,50.0,AAPL
majorityclass,bollingerband,200,0.51,8,50.0,AAPL
majorityclass,bollingerband,500,0.51,8,50.0,AAPL
majorityclass,bollingerband,1000,0.509,8,50.0,AAPL
majorityclass,bollingerband,2000,0.512,7,50.0,AAPL
majorityclass,adwin,100,0.519,0,100.0,AAPL
majorityclass,adwin,200,0.52,0,100.0,AAPL
majorityclass,adwin,500,0.52,0,100.0,AAPL
majorityclass,adwin,1000,0.517,0,100.0,AAPL
majorityclass,adwin,2000,0.519,0,100.0,AAPL
majorityclass,kswin,100,0.52,5,100.0,AAPL
majorityclass,kswin,200,0.52,2,100.0,AAPL
majorityclass,kswin,500,0.52,2,100.0,AAPL
majorityclass,kswin,1000,0.517,2,100.0,AAPL
majorityclass,kswin,2000,0.519,2,100.0,AAPL
majorityclass,dummydriftdetector,100,0.52,36,100.0,AAPL
majorityclass,dummydriftdetector,200,0.52,35,100.0,AAPL
majorityclass,dummydriftdetector,500,0.52,34,100.0,AAPL
majorityclass,dummydriftdetector,1000,0.517,33,100.0,AAPL
majorityclass,dummydriftdetector,2000,0.519,29,100.0,AAPL
majorityclass,pagehinkley,100,0.52,0,100.0,AAPL
majorityclass,pagehinkley,200,0.52,0,100.0,AAPL
majorityclass,pagehinkley,500,0.52,0,100.0,AAPL
majorityclass,pagehinkley,1000,0.517,0,100.0,AAPL
majorityclass,pagehinkley,2000,0.519,0,100.0,AAPL
majorityclass,bollingerband,100,0.52,9,100.0,AAPL
majorityclass,bollingerband,200,0.52,8,100.0,AAPL
majorityclass,bollingerband,500,0.52,8,100.0,AAPL
majorityclass,bollingerband,1000,0.517,8,100.0,AAPL
majorityclass,bollingerband,2000,0.519,7,100.0,AAPL
majorityclass,adwin,100,0.524,0,500.0,AAPL
majorityclass,adwin,200,0.524,0,500.0,AAPL
majorityclass,adwin,500,0.523,0,500.0,AAPL
majorityclass,adwin,1000,0.523,0,500.0,AAPL
majorityclass,adwin,2000,0.521,0,500.0,AAPL
majorityclass,kswin,100,0.524,3,500.0,AAPL
majorityclass,kswin,200,0.524,4,500.0,AAPL
majorityclass,kswin,500,0.523,2,500.0,AAPL
majorityclass,kswin,1000,0.523,2,500.0,AAPL
majorityclass,kswin,2000,0.521,3,500.0,AAPL
majorityclass,dummydriftdetector,100,0.524,36,500.0,AAPL
majorityclass,dummydriftdetector,200,0.524,35,500.0,AAPL
majorityclass,dummydriftdetector,500,0.523,34,500.0,AAPL
majorityclass,dummydriftdetector,1000,0.523,33,500.0,AAPL
majorityclass,dummydriftdetector,2000,0.521,29,500.0,AAPL
majorityclass,pagehinkley,100,0.524,1,500.0,AAPL
majorityclass,pagehinkley,200,0.524,1,500.0,AAPL
majorityclass,pagehinkley,500,0.523,1,500.0,AAPL
majorityclass,pagehinkley,1000,0.523,1,500.0,AAPL
majorityclass,pagehinkley,2000,0.521,1,500.0,AAPL
majorityclass,bollingerband,100,0.524,9,500.0,AAPL
majorityclass,bollingerband,200,0.524,8,500.0,AAPL
majorityclass,bollingerband,500,0.523,8,500.0,AAPL
majorityclass,bollingerband,1000,0.523,8,500.0,AAPL
majorityclass,bollingerband,2000,0.521,7,500.0,AAPL
majorityclass,adwin,100,0.524,0,1000.0,AAPL
majorityclass,adwin,200,0.521,0,1000.0,AAPL
majorityclass,adwin,500,0.521,0,1000.0,AAPL
majorityclass,adwin,1000,0.52,0,1000.0,AAPL
majorityclass,adwin,2000,0.521,0,1000.0,AAPL
majorityclass,kswin,100,0.523,3,1000.0,AAPL
majorityclass,kswin,200,0.521,2,1000.0,AAPL
majorityclass,kswin,500,0.521,2,1000.0,AAPL
majorityclass,kswin,1000,0.52,1,1000.0,AAPL
majorityclass,kswin,2000,0.521,3,1000.0,AAPL
majorityclass,dummydriftdetector,100,0.523,36,1000.0,AAPL
majorityclass,dummydriftdetector,200,0.521,35,1000.0,AAPL
majorityclass,dummydriftdetector,500,0.521,34,1000.0,AAPL
majorityclass,dummydriftdetector,1000,0.52,33,1000.0,AAPL
majorityclass,dummydriftdetector,2000,0.521,29,1000.0,AAPL
majorityclass,pagehinkley,100,0.523,2,1000.0,AAPL
majorityclass,pagehinkley,200,0.521,2,1000.0,AAPL
majorityclass,pagehinkley,500,0.521,2,1000.0,AAPL
majorityclass,pagehinkley,1000,0.52,2,1000.0,AAPL
majorityclass,pagehinkley,2000,0.521,2,1000.0,AAPL
majorityclass,bollingerband,100,0.523,9,1000.0,AAPL
majorityclass,bollingerband,200,0.521,8,1000.0,AAPL
majorityclass,bollingerband,500,0.521,8,1000.0,AAPL
majorityclass,bollingerband,1000,0.52,8,1000.0,AAPL
majorityclass,bollingerband,2000,0.521,7,1000.0,AAPL
majorityclass,adwin,100,0.524,0,2000.0,AAPL
majorityclass,adwin,200,0.519,0,2000.0,AAPL
majorityclass,adwin,500,0.518,0,2000.0,AAPL
majorityclass,adwin,1000,0.519,0,2000.0,AAPL
majorityclass,adwin,2000,0.518,0,2000.0,AAPL
majorityclass,kswin,100,0.52,5,2000.0,AAPL
majorityclass,kswin,200,0.519,3,2000.0,AAPL
majorityclass,kswin,500,0.518,7,2000.0,AAPL
majorityclass,kswin,1000,0.519,3,2000.0,AAPL
majorityclass,kswin,2000,0.518,6,2000.0,AAPL
majorityclass,dummydriftdetector,100,0.52,36,2000.0,AAPL
majorityclass,dummydriftdetector,200,0.519,35,2000.0,AAPL
majorityclass,dummydriftdetector,500,0.518,34,2000.0,AAPL
majorityclass,dummydriftdetector,1000,0.519,33,2000.0,AAPL
majorityclass,dummydriftdetector,2000,0.518,29,2000.0,AAPL
majorityclass,pagehinkley,100,0.52,3,2000.0,AAPL
majorityclass,pagehinkley,200,0.519,3,2000.0,AAPL
majorityclass,pagehinkley,500,0.518,3,2000.0,AAPL
majorityclass,pagehinkley,1000,0.519,2,2000.0,AAPL
majorityclass,pagehinkley,2000,0.518,2,2000.0,AAPL
majorityclass,bollingerband,100,0.52,9,2000.0,AAPL
majorityclass,bollingerband,200,0.519,8,2000.0,AAPL
majorityclass,bollingerband,500,0.518,8,2000.0,AAPL
majorityclass,bollingerband,1000,0.519,8,2000.0,AAPL
majorityclass,bollingerband,2000,0.518,7,2000.0,AAPL
majorityclass,adwin,100,0.513,1,5000.0,AAPL
majorityclass,adwin,200,0.499,0,5000.0,AAPL
majorityclass,adwin,500,0.5,0,5000.0,AAPL
majorityclass,adwin,1000,0.496,0,5000.0,AAPL
majorityclass,adwin,2000,0.49,1,5000.0,AAPL
majorityclass,kswin,100,0.499,1,5000.0,AAPL
majorityclass,kswin,200,0.499,2,5000.0,AAPL
majorityclass,kswin,500,0.5,2,5000.0,AAPL
majorityclass,kswin,1000,0.496,0,5000.0,AAPL
majorityclass,kswin,2000,0.49,3,5000.0,AAPL
majorityclass,dummydriftdetector,100,0.499,36,5000.0,AAPL
majorityclass,dummydriftdetector,200,0.499,35,5000.0,AAPL
majorityclass,dummydriftdetector,500,0.5,34,5000.0,AAPL
majorityclass,dummydriftdetector,1000,0.496,33,5000.0,AAPL
majorityclass,dummydriftdetector,2000,0.49,29,5000.0,AAPL
majorityclass,pagehinkley,100,0.499,3,5000.0,AAPL
majorityclass,pagehinkley,200,0.499,3,5000.0,AAPL
majorityclass,pagehinkley,500,0.5,3,5000.0,AAPL
majorityclass,pagehinkley,1000,0.496,3,5000.0,AAPL
majorityclass,pagehinkley,2000,0.49,2,5000.0,AAPL
majorityclass,bollingerband,100,0.499,9,5000.0,AAPL
