model_name,drift_name,feature_selector_name,num_features,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
nochange,adwin,selectkbest,5,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,5,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,5,500,3,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,5,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,selectkbest,5,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,5,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,5,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,5,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,5,500,4,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,kswin,selectkbest,5,500,5,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,5,500,1,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,5,500,2,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,5,500,3,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,5,500,4,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,pagehinkley,selectkbest,5,500,5,0.501,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,5,500,1,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,5,500,2,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,5,500,3,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,5,500,4,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,bollingerband,selectkbest,5,500,5,0.501,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,5,500,1,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
nochange,adwin,tstat,5,500,2,0.501,0,"grace_period=200, max_depth=None, delta=1e-07",AAPL
