model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,drift_args
hoeffdingtreeclassifier,adwin,tstat,0,1,0.526,0,"delta=0.01, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.529,0,"delta=0.01, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.53,0,"delta=0.01, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.533,0,"delta=0.01, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.533,0,"delta=0.01, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.533,0,"delta=0.01, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.531,0,"delta=0.01, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.531,2,"delta=0.01, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.532,2,"delta=0.01, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.539,0,"delta=0.01, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.526,1,"delta=0.01, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.534,0,"delta=0.01, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.501,2,"delta=0.01, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.502,2,"delta=0.01, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.506,1,"delta=0.01, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.499,1,"delta=0.01, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.493,0,"delta=0.01, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.496,0,"delta=0.01, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.499,0,"delta=0.002, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.5,0,"delta=0.002, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.502,0,"delta=0.002, clock=1, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.502,1,"delta=0.002, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.503,2,"delta=0.002, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.503,2,"delta=0.002, clock=1, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.501,2,"delta=0.002, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.489,0,"delta=0.002, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.499,0,"delta=0.002, clock=10, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.499,0,"delta=0.002, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.501,0,"delta=0.002, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.502,0,"delta=0.002, clock=10, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.502,2,"delta=0.002, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.503,2,"delta=0.002, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.503,2,"delta=0.002, clock=32, max_buckets=5, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,1,0.503,2,"delta=0.002, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,2,0.504,2,"delta=0.002, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,adwin,tstat,0,3,0.502,3,"delta=0.002, clock=32, max_buckets=3, grace_period=10"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.506,5,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.499,2,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.501,5,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.529,4,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.533,7,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.541,5,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.516,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.513,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.517,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.501,3,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.538,5,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.55,5,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.538,5,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.538,8,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.527,10,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.52,4,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.544,3,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.539,7,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.544,3,"alpha=0.005, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.502,2,"alpha=0.005, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.528,4,"alpha=0.005, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.522,3,"alpha=0.005, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.524,4,"alpha=0.005, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.544,4,"alpha=0.005, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.538,4,"alpha=0.005, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.528,6,"alpha=0.005, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.521,3,"alpha=0.005, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.513,6,"alpha=0.005, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.519,3,"alpha=0.005, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.53,7,"alpha=0.005, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.502,2,"alpha=0.005, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.521,4,"alpha=0.005, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.515,3,"alpha=0.005, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.516,5,"alpha=0.005, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.516,5,"alpha=0.005, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.521,5,"alpha=0.005, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.503,2,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.516,3,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.518,5,"alpha=0.01, window_size=100, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.522,3,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.541,5,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.55,5,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.539,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.522,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.525,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.522,6,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.542,5,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.55,6,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.526,7,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.532,8,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.528,5,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.521,7,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.529,8,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.538,5,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.517,5,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,5,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.541,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,2,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.529,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.509,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.506,4,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,4,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.509,3,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=down"
